title,summary,text,link,published_at,source,keyword,impact_score,tag
【#高新南区6个公交站点完成改造#】为进一步提升高新区交通通行效率，近日，成都公交交通治堵工作专班全面排查梳理高新区内经停线路超过8条的公交站点20余处，重点梳理、排查高新南区天府大道府城大道口、地铁孵化园站、地铁世纪城站等21处堵点，按照“拥堵” - 手机新浪网,【#高新南区6个公交站点完成改造#】为进一步提升高新区交通通行效率，近日，成都公交交通治堵工作专班全面排查梳理高新区内经停线路超过8条的公交站点20余处，重点梳理、排查高新南区天府大道府城大道口、地铁孵化园站、地铁世纪城站等21处堵点，按照“拥堵” 手机新浪网,【#高新南区6个公交站点完成改造#】为进一步提升高新区交通通行效率，近日，成都公交交通治堵工作专班全面排查梳理高新区内经停线路超过8条的公交站点20余处，重点梳理、排查高新南区天府大道府城大道口、地铁孵化园站、地铁世纪城站等21处堵点，按照“拥堵” - 手机新浪网 【#高新南区6个公交站点完成改造#】为进一步提升高新区交通通行效率，近日，成都公交交通治堵工作专班全面排查梳理高新区内经停线路超过8条的公交站点20余处，重点梳理、排查高新南区天府大道府城大道口、地铁孵化园站、地铁世纪城站等21处堵点，按照“拥堵” 手机新浪网,https://news.google.com/rss/articles/CBMiY0FVX3lxTE1kOXJoYk5wT1QwZXJlUk5wQW9XeWdsb0tnVmJ4eEZTbE9jOEo0aVVwdEgyYjRFejdJeF9YVUlCbHFpSGtKakpVRmVvSnJfcDRzdmZaQ0NURmFCRWxpTS1JYzJBQQ?oc=5,2024-11-05 08:00:00,google_news,成都 治堵,60.0,transit
“智慧大脑”治理慢速车将全面推广，成都“开门治堵”8个月，拥堵指数明显下降 - 新浪财经,“智慧大脑”治理慢速车将全面推广，成都“开门治堵”8个月，拥堵指数明显下降 新浪财经,“智慧大脑”治理慢速车将全面推广，成都“开门治堵”8个月，拥堵指数明显下降 - 新浪财经 “智慧大脑”治理慢速车将全面推广，成都“开门治堵”8个月，拥堵指数明显下降 新浪财经,https://news.google.com/rss/articles/CBMif0FVX3lxTE95NVpBMFlobmtKcUp3S1ZqTENieWNrX3ZoVDVYU1AtM21VWl8xY08taFZNcXNKZm44VjRobFRTVXRKTGl5V21BSlFEeGh0YlpLSTV2a3lma3NORlU3bW9RUm12OEI1V2NhckdSanc1bTF1QlhVSTFNTm1FS2xTY2s?oc=5,2025-07-01 07:00:00,google_news,成都 治堵,51.0,general
驾驶员注意！成都明日早高峰将提前，这些路段易出现交通拥堵→ - 新浪财经,驾驶员注意！成都明日早高峰将提前，这些路段易出现交通拥堵→ 新浪财经,驾驶员注意！成都明日早高峰将提前，这些路段易出现交通拥堵→ - 新浪财经 驾驶员注意！成都明日早高峰将提前，这些路段易出现交通拥堵→ 新浪财经,https://news.google.com/rss/articles/CBMifkFVX3lxTFBaYkJmN3dhS0FLV3d2WDBldE5DenQtUlRIQmNzWVBJZXRLZlMxbEduU0Rva21JTUwyTk1DUVdXYXdCdlFYNWNlNUdEVWtrVnFlMG16M0VFQzlHeVFLdHNnckJnZG1oQWgxTVZTanRjdmRfOGdPU3doc2o3QkxPZw?oc=5,2026-03-01 08:00:00,google_news,成都 交通 拥堵,50.0,general
记者直击成都“25天不限行”首个工作日早高峰不拥堵交通运行平稳有序_要闻 - scfzbs.com,记者直击成都“25天不限行”首个工作日早高峰不拥堵交通运行平稳有序_要闻 scfzbs.com,记者直击成都“25天不限行”首个工作日早高峰不拥堵交通运行平稳有序_要闻 - scfzbs.com 记者直击成都“25天不限行”首个工作日早高峰不拥堵交通运行平稳有序_要闻 scfzbs.com,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5sdzB4dzl4TmxzWWVKZjcwS1RBT2J0bmlsZUg1LVhyVE5zemtOa3hRTk43ZU5ySFNnTHRpaVBqV21QdndVYjlaTzh3MUdFSEdhdUIxbnh3OFg2dw?oc=5,2026-02-10 08:00:00,google_news,成都 交通 拥堵,50.0,general
元旦假期不限行！预计明天晚高峰将提前至15时，成都这些路段易拥堵 - news.qq.com,元旦假期不限行！预计明天晚高峰将提前至15时，成都这些路段易拥堵 news.qq.com,元旦假期不限行！预计明天晚高峰将提前至15时，成都这些路段易拥堵 - news.qq.com 元旦假期不限行！预计明天晚高峰将提前至15时，成都这些路段易拥堵 news.qq.com,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBwMG9uTzU4RC00RXZSRDVveEFFMUJ0eFlPMGZSczg2VmZqa0hKVGZ1OGp0ek1HVGJHNDZXa1pzQW1sSi1xWXlUN0ZFZnZ1T21ydGwyamx3?oc=5,2025-12-30 08:00:00,google_news,成都 交通 拥堵,50.0,general
成都为缓解早晚高峰交通拥堵状况，禁止部分货车在绕城高速通行-腾讯新闻 - news.qq.com,成都为缓解早晚高峰交通拥堵状况，禁止部分货车在绕城高速通行-腾讯新闻 news.qq.com,成都为缓解早晚高峰交通拥堵状况，禁止部分货车在绕城高速通行-腾讯新闻 - news.qq.com 成都为缓解早晚高峰交通拥堵状况，禁止部分货车在绕城高速通行-腾讯新闻 news.qq.com,https://news.google.com/rss/articles/CBMiVkFVX3lxTFA0VW1IUTdNSnp4NmpocWhIdXlZYTJCeG9VNlFYQWlxZlhlUXQ5ZXk5NEtONmdBMXZJamJfdWcwSmtqVXJqWXhHMGFJTDZKdkNOVWtlYXFR?oc=5,2024-01-12 08:00:00,google_news,成都 交通 拥堵,50.0,general
发现没有？科华南路早晚高峰更好走了，清江中路也顺畅了！治堵“药方”见效 - 新浪财经,发现没有？科华南路早晚高峰更好走了，清江中路也顺畅了！治堵“药方”见效 新浪财经,发现没有？科华南路早晚高峰更好走了，清江中路也顺畅了！治堵“药方”见效 - 新浪财经 发现没有？科华南路早晚高峰更好走了，清江中路也顺畅了！治堵“药方”见效 新浪财经,https://news.google.com/rss/articles/CBMifkFVX3lxTE1XNHJfdTlXTE9kUEZHemFQTDdHRW13aVhkWHhMand1cEl1LWU5RXJaWkdabVRick1xUFd5aGxYZmVQbUpHdDVaUU42R2VDSHlKSk5kWHNZb2dReW1kbWVUY1BPdEQzcGhmZS1ydzZEcXNhc2NESWJvdlN6YVVwQQ?oc=5,2026-02-25 08:00:00,google_news,成都 治堵,48.0,general
问政四川丨成都机场高速免费后车流量大增，如何缓堵？记者高峰期实地探访 - sichuan.scol.com.cn,问政四川丨成都机场高速免费后车流量大增，如何缓堵？记者高峰期实地探访 sichuan.scol.com.cn,问政四川丨成都机场高速免费后车流量大增，如何缓堵？记者高峰期实地探访 - sichuan.scol.com.cn 问政四川丨成都机场高速免费后车流量大增，如何缓堵？记者高峰期实地探访 sichuan.scol.com.cn,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5MRV9BV0F6U0Ffa0tmdmV1dFp5WElqbllSeERiVDdwMnRsZlF0NUV3Z0ViODliQUYwRHFHRHIyYXZQbUZmVXI1TmJiU2lxUWFlRFZmNlNPb3F0TnNIbjk5N0lMdw?oc=5,2026-01-13 08:00:00,google_news,成都 交通 拥堵,46.0,general
一起来治堵｜成都79条公交车道提前优化调整完成，还有这些改善 - news.qq.com,一起来治堵｜成都79条公交车道提前优化调整完成，还有这些改善 news.qq.com,一起来治堵｜成都79条公交车道提前优化调整完成，还有这些改善 - news.qq.com 一起来治堵｜成都79条公交车道提前优化调整完成，还有这些改善 news.qq.com,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBfV1dHX2ZpZDZyR2RsV3lkVFdfeWt6dG1WaUhGVFBNMVJHS2dnNnlSRXlSUHdWTEpsR0VGTkhEaHBVUm9BbnNzYWtib040azNUa1BtenBB?oc=5,2025-03-13 07:00:00,google_news,成都 治堵,46.0,transit
一起来治堵｜公交道开放却不敢走？公交车车尾牌“广而告之”，接下来更多线路将上线-腾讯新闻 - news.qq.com,一起来治堵｜公交道开放却不敢走？公交车车尾牌“广而告之”，接下来更多线路将上线-腾讯新闻 news.qq.com,一起来治堵｜公交道开放却不敢走？公交车车尾牌“广而告之”，接下来更多线路将上线-腾讯新闻 - news.qq.com 一起来治堵｜公交道开放却不敢走？公交车车尾牌“广而告之”，接下来更多线路将上线-腾讯新闻 news.qq.com,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5yUWV2eXV6VGNGUXZNSVFmU3dIRzBuSWdUcDg3dHp6V2o3ODVwZnhZYVFVeklSZHhJVVVFNVB1R0VHU0pCNlIxbC1kOXVPMjFlVWdpdWd3?oc=5,2025-03-10 07:00:00,google_news,成都 治堵,46.0,transit
